"source_path","source_hash","source_storage_mode","analysis_path"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/00_PROJECT_BOOTSTRAP.md","648310d80337d6c7528d15f34f516a093a76f3152ff3f57f3bb5a3a7226491e2","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/00-project-bootstrap.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/00_SYSTEM_BOOTSTRAP.md","3d990fe88f84b456cacb679f39a3f7d4a9c3135ea66cf19cfb0746094b337a60","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/00-system-bootstrap.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/01_API_CALL_STRUCTURE (2).md","6878f88cb1fc0298c4b94ce71a1b64589f6936d1a85de084bface99af269f6d7","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/01-api-call-structure-2.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/01_API_CALL_STRUCTURE.md","6878f88cb1fc0298c4b94ce71a1b64589f6936d1a85de084bface99af269f6d7","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/01-api-call-structure.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/01_ARTIFACT_SINGLE_FILE.md","6f82bcfe553712cf49f42149caf36af962e70eb8e5a0f26e5d2693ed295f14ef","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/01-artifact-single-file.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/02_MULTI_FILE_SESSION.md","7a86e89c6df4b8d84784264b3a9a8c1258981f5f4e1cb9d779113d28958ee0f9","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/02-multi-file-session.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/02_STATE_BLOCK.md","5c32547d362df57d598eca5d47f065206c6cc6842a7904b81ed3a2d9cb8f0b00","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/02-state-block.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/03_PROJECT_OPENER.md","90946fc59b1f880eb7a9f69902ca8c3c1f31b26aae601b0ce6a39c88524082b0","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/03-project-opener.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/03_TASK_PAYLOAD.md","d5e49e3c385497a5f5cc427601fa41b9d74a7f36c7dd14527447775ddda434b9","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/03-task-payload.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/04_OUTPUT_ROUTER.md","65a272571e9933d9ab8cb030f8edc2d89a76117ca17fbfafb21574f4029a2898","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/04-output-router.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/04_STATE_BLOCK.md","1bf5481344a2073fb430feaef92d250a08557c595ea9478425a49aae4ceed86d","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/04-state-block.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/05_FILE_OUTPUT.md","23c57f64dea775bda353b065757b5852f6fadfeadd3a6580f0ee1d3cf41b0da4","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/05-file-output.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/05_SPLIT_SIGNAL.md","326005b36bdab7c9a01cf6b7c8150816827602fe50d10f7fc144e81e1e533ba6","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/05-split-signal.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/06_DIFF_OUTPUT (1).md","5d5867cec314727532f6b350c48d660d12efe7ca1f7410d2f3db393ff59e8cf6","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/06-diff-output-1.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/06_DIFF_OUTPUT.md","cab56682e1943a0c3c5eba4ef0e546a8cb5bd1a1c9ff3df13cf6a3c0558be362","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/06-diff-output.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/07_RESEARCH_BLOCK.md","a6c315af1b570cad9d66192f68305f3d413bccff3bb95a622e38241710801a39","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/07-research-block.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/07_RESEARCH_OUTPUT.md","158edaf90066980cc95c46c63902c5b9cd263482670320a57932ed85d7a596b6","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/07-research-output.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/08_GATE_CHECK.md","74f5f5cc10c1ce663ff5219f964a2d6e5550f92b7af3dcb5d65b98032f420a01","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/08-gate-check.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/08_TASK_CLOSURE.md","bd19c74d9fe2fa90b607324751f8f50421f0a839b3eed92376b2fcd62411a22d","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/08-task-closure.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/09_CONTROL_SIGNALS.md","e2fe8c98e1e6cdcfa577f45e29c39886c428dc9701019d918bbdc07b9225011e","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/09-control-signals.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/10_MANIFEST_OUTPUT.md","e1e74a8a267e36bc894ae38483d5777b5fbe6995a231cde1e4c5d5dcddb71abe","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/10-manifest-output.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/11_TASK_CLOSURE.md","af72c2112f45b8ca0f5c1b632925bafccdd143bd113840dad81a45914877e2b8","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/11-task-closure.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/NewResearchBlueprints/Quantum-PE/fundamentals/5-building-blocks-every-prompt-needs.md","43a6d43b23aefc63d8e514969f207cf8f82d64d2a2a9fe21185e245e1ac458f9","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/5-building-blocks-every-prompt-needs.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/KBAudit/AGENT_PATCH_CONTRACT.md","e855a34d48723157170c117a1ba0a9e64268d9d79d885736380cf9351710483e","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/agent-patch-contract.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/NewResearchBlueprints/Quantum-PE/use-cases/ai-code-review.md","2e5048ccee9618bcbf2a32e6d0e373e23e101392b617c427215eb306bc9578af","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/ai-code-review.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/NewResearchBlueprints/Quantum-PE/fundamentals/ai-hallucinations.md","6868b86f3db6a9c03fbccad2c958862db70d0ccbeb176522f58bc0d6f85fd9de","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/ai-hallucinations.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/NewResearchBlueprints/Quantum-PE/fundamentals/ai-limitations.md","7be7899b69a66c4ea5aa02f34ca503ca7626696e7081fad6ebc5d196379fafc7","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/ai-limitations.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/AnotherConstantFailure.md","e78ce2522a4eff18513b4877e41c9d5d9f794ef9427b1cdd7662f9833682bc58","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/anotherconstantfailure.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/NewResearchBlueprints/Quantum-PE/frameworks/ape-framework.md","b18c06e1083bd160f59f00ec1cf502c0437232a9e1580f44734e03e3c972cde7","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/ape-framework.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_ANTI_DRIFT_EVIDENCE.md","70d263d2484d273d32266824394e7502acb2fb6dbea0ff4f6426ee500ac5eddc","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-anti-drift-evidence.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_CANDIDATE_LEDGER.md","e866a29cbca9cb9aad3b6ec86b47aad3e49e8f55528f6e6572f74636f87b0b7c","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-candidate-ledger.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_CONSTANT_FAILURE_INTEGRATION_PROCESS.md","02fdac13b13abc6f5bdbc645061a0f77ea0cfe7fd5855c5a935d0146a91ecd72","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-constant-failure-integration-process.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_CONSTANT_FAILURE_INTEGRATION_RANKING.md","78de6549ad92ada56235c4a9eae1a04bdfe365fdb0c4fd5c442c5cdfde75e109","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-constant-failure-integration-ranking.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_CONSTANT_FAILURE_SOURCE_NOTES.md","d3eb2285f1480a6a3bc934bdc74dacec29433b0ca62f84c0d28dfe2027d67f93","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-constant-failure-source-notes.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_CONSTANT_FRAME_PROCESS_CLOSE_REPORT.md","c0bc73708a746aac7b30fe8a08906dd94ebcd3b20bd05de0be02eb8a902f49e3","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-constant-frame-process-close-report.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_DEEP_RESEARCH_PROMPT_AUDIT_TEMPLATE_UNVERIFIED.md","e693a879a4714ae5774e77df792a0cd7de41c8fda453e8cb70c7a58694569b5a","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-deep-research-prompt-audit-template-unverified.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_EXAMPLES.md","3f9b62f35c121d52c441644cce770fd7771b89e5cfe2d86d23d3b8737e400286","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-examples.analysis.md"
"source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/APPENDIX_KB_EXECUTION_CONTROL_CONTRACTS.md","85f42e2a1df4e69b0aaac22fa2b4451a41df437c6df41b78863d79adc28c04bc","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/appendix-kb-execution-control-contracts.analysis.md"
